drug_name,drug_type,dosage_form,active_ingredient,indication,description,restriction,precautions,source
Aluminium hydroxide + Magnesium hydroxide,,"chewable tab, tab, susp, susp (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Simeticone,,"chewable tab, susp",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ชื่อพ้อง: Simethicone | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Aluminium hydroxide + Magnesium hydroxide + Simeticone 25-50 mg,,"chewable tab, tab",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Compound Cardamom Mixture เฉพาะสูตรที่ไม่มี sodium bicarbonate,,"mixt, mixt (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ชื่อพ้อง: Mist Carminative | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Aluminium hydroxide,,"chewable tab, tab, susp, susp (hosp)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antacids and other drugs for dyspepsia | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Dicycloverine hydrochloride,,tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ชื่อพ้อง: Dicyclomine hydrochloride | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Domperidone,,"tab (as base/maleate), susp (as base/maleate)",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Hyoscine butylbromide,,"tab, syr, sterile sol",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ชื่อพ้อง: Hyoscine-n-butylbromide | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Metoclopramide,,"tab, syr, sterile sol",,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Mebeverine hydrochloride,,tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Antispasmodics and other drugs altering gut motility | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Omeprazole,,EC cap (as base),,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ranitidine hydrochloride,,film coated tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Omeprazole sodium,,sterile pwdr,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ranitidine hydrochloride,,sterile sol,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Pantoprazole sodium,,sterile pwdr,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sucralfate,,"tab, susp",,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ค,ใช้เฉพาะกรณีหญิงตั้งครรภ์,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Bismuth  subsalicylate,,tab,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ED: ง,"1. ใช้เป็น second-line drug  ในการกำจัด H.pyroli
2. ห้ามใช้ในเด็กอายุน้อยกว่า 12 ปี",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lauromacrogol 400,,sterile sol,,,หมวดยา: Gastro-intestinal system | หมวดยา: Ulcer-healing drugs and drugs used in variceal bleeding | ชื่อพ้อง: Polidocanol | ED: ง,"1. ใช้ช่วยห้าม variceal bleeding ผ่านทาง endoscopy และใช้สำหรับ sclerotherapy
2. ใช้สำหรับ varicose vein และ hemorrhoid",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
